step,accuracy01,accuracy01/std,accuracy03,accuracy03/std,accuracy05,accuracy05/std,loss,loss/mean,loss/std,lr,momentum
1,0.721816649585962,0.07192787293279106,0.9498666452368099,0.0479168027697641,0.9834333023428916,0.02772288682811114,0.7488361335794129,0.7488361335794129,0.21364379440885367,0.02,0.9
2,0.7563333147764202,0.04475029305022268,0.959966642558575,0.020248587647604597,0.9867999680836993,0.01146424899894832,0.656643749624491,0.656643749624491,0.11788625550998018,0.02,0.9
3,0.7685333143671353,0.042882156449613885,0.962033309439819,0.01947318287578535,0.9867166357239093,0.011301417266081535,0.6279429158568375,0.6279429158568375,0.11556844238603052,0.02,0.9
4,0.7690333137909571,0.04556789721183331,0.9618666427334152,0.01970249415910207,0.9872833037376404,0.011537856898173889,0.6285227005183699,0.6285227005183699,0.1165810657540387,0.02,0.9
5,0.7663166481256485,0.041991612700257745,0.9614333095153172,0.019294679490037984,0.9878166371583935,0.011477606463004235,0.62702316770951,0.62702316770951,0.11922676700955427,0.02,0.9
6,0.7818333128094674,0.04239892304558319,0.9633999742070828,0.01824221661240826,0.9886999690532685,0.010114935203829856,0.6016365024447449,0.6016365024447449,0.11554884309080085,0.02,0.9
7,0.7793166471521054,0.041602023027860084,0.9623166427016265,0.01885396110615456,0.9879499701658884,0.01101361570166975,0.6012711438536641,0.6012711438536641,0.11629504269151572,0.02,0.9
8,0.7777666482329365,0.04351678081639229,0.9626499750216807,0.019684602357606246,0.9875833029548328,0.011313504161162533,0.6105006567140422,0.6105006567140422,0.12346032143668939,0.02,0.9
9,0.7840333133935931,0.042135830132233626,0.9633666426936786,0.01957902396304196,0.9877166353662804,0.010891367249562257,0.5984392203887308,0.5984392203887308,0.11677829443663548,0.02,0.9
10,0.7880833129088088,0.04290132307891006,0.964099974234899,0.018281007134849984,0.9876333022117612,0.010911815875489735,0.5890056045353417,0.5890056045353417,0.12018826314898347,0.02,0.9
step,accuracy01,accuracy01/std,accuracy03,accuracy03/std,accuracy05,accuracy05/std,loss,loss/mean,loss/std,lr,momentum
1,0.23659999419003735,0.05290072360090783,0.584499985724687,0.08136047385542888,0.7518333146472771,0.06380208737501818,1.8971176296472545,1.8971176296472545,0.14168302291265714,0.02,0.9
2,0.2715999926626681,0.04575450613890763,0.6710666515429813,0.051185013909307187,0.8168666452169415,0.040961893388164576,1.7896209714810045,1.7896209714810045,0.0865703847969671,0.02,0.9
3,0.2852166591833036,0.04300368759768356,0.6720999840895339,0.04958122125070896,0.8181166462103522,0.03807418827623533,1.7722797226905826,1.7722797226905826,0.09815610644378434,0.02,0.9
4,0.2858666591594613,0.045416038357230334,0.6711666516462961,0.0485318934295007,0.8140999792019525,0.03922009248543476,1.7733967485030506,1.7733967485030506,0.09183219764867907,0.02,0.9
5,0.2842999930928148,0.04705897233347685,0.6608333170910679,0.05078072064951937,0.8208166444301608,0.040056540184593134,1.778871600429215,1.778871600429215,0.10329838951292336,0.02,0.9
6,0.2840166593591372,0.04800768771375027,0.6700333181520308,0.05068242451841995,0.81949997951587,0.03829413814845481,1.7734935561815888,1.7734935561815888,0.08947095922038342,0.02,0.9
7,0.2869999922066927,0.0455562062857905,0.672149984141191,0.047200790043543,0.8166166460514068,0.041147069070664094,1.7659547297159817,1.7659547297159817,0.08427976326104808,0.02,0.9
8,0.2948666594425838,0.04660491838744864,0.6840333170692124,0.04556058262030142,0.8223166453838343,0.039159826049664205,1.7507210101683928,1.7507210101683928,0.09032562433317641,0.02,0.9
9,0.29118332616984827,0.04817819404072762,0.6773666501045223,0.04912676353624776,0.8188499793410299,0.039469863596051556,1.767880373597145,1.767880373597145,0.09421414551481519,0.02,0.9
10,0.29116665904720596,0.04554126433105858,0.67618331760168,0.04759170732286778,0.8156666447718933,0.03896041774274149,1.7590489019950226,1.7590489019950226,0.09685750661635911,0.02,0.9
step,accuracy01,accuracy01/std,accuracy03,accuracy03/std,accuracy05,accuracy05/std,loss,loss/mean,loss/std,lr,momentum
1,0.4694333216051261,0.09355831226354006,0.8729499801496666,0.08628782160707263,0.9496666420499483,0.059863300517493806,1.301052628457545,1.301052628457545,0.22422976410381257,0.02,0.9
2,0.550433320254088,0.053296587504887465,0.914199983477593,0.02973844098687413,0.9679999725023901,0.017445287103553805,1.1338413415352495,1.1338413415352495,0.12133573177059946,0.02,0.9
3,0.5613166538377602,0.05189230544438727,0.9138666481773066,0.03132196288488472,0.9652499734361956,0.019839615888721164,1.1158004842201854,1.1158004842201854,0.12271378537870171,0.02,0.9
4,0.5694166554510591,0.048599031149684876,0.9137833147247633,0.029852996202319126,0.9652666397889466,0.01958574756172675,1.102710034549237,1.102710034549237,0.11744016250942615,0.02,0.9
5,0.5659666538735231,0.05269198417249,0.9171333150068914,0.029276781294783675,0.9659166398644444,0.018207093526189513,1.1127613630890842,1.1127613630890842,0.13831059706616278,0.02,0.9
6,0.5602333191533886,0.049883066399236634,0.9031499820947647,0.030478294154597765,0.9609333093961083,0.019212877708857504,1.1355128570397677,1.1355128570397677,0.12078605859937917,0.02,0.9
7,0.5598166545728844,0.05233397926429531,0.90066664814949,0.03524073867640867,0.9599166424075769,0.023018141028176703,1.1309772135814031,1.1309772135814031,0.1324493373252962,0.02,0.9
8,0.5540666541953884,0.05546332359895524,0.9054999821384748,0.03258989292631981,0.9642166406909629,0.01968228692745779,1.1394732176264128,1.1394732176264128,0.14577872067846895,0.02,0.9
9,0.5405666539569698,0.05563629353866629,0.8844499810536703,0.03984625553182472,0.9570333103338877,0.021084099603485593,1.1730319992701208,1.1730319992701208,0.13582411173277562,0.02,0.9
10,0.5166499872505662,0.05530818294050734,0.8865999809900923,0.037529503523573864,0.959233309030533,0.022152953024967916,1.2014423877000795,1.2014423877000795,0.12530068763169105,0.02,0.9
step,accuracy01,accuracy01/std,accuracy03,accuracy03/std,accuracy05,accuracy05/std,loss,loss/mean,loss/std,lr,momentum
1,0.4346333224698904,0.061730021009582546,0.780116646538178,0.057223601495907724,0.8980666481455173,0.04003692940261802,1.3687115343411762,1.3687115343411762,0.1578471720326447,0.02,0.9
2,0.47166665444771433,0.054261138919209,0.8069833118716879,0.04287303295676049,0.9017499805490174,0.030645063802531052,1.2991178275148076,1.2991178275148076,0.11630764030285586,0.02,0.9
3,0.48298332080244993,0.04959812535665204,0.8043999793132148,0.0404680996738308,0.8949999809265146,0.03001691181886139,1.2987339548269914,1.2987339548269914,0.11592860265170023,0.02,0.9
